Analyse de coherence du câble;2025-07

Vérification cb_prop / cb_gest / cb_user présents dans or_code
cb_prop non trouvés;
cb_gest non trouvés;
cb_user non trouvés;

Vérification cb_fo_disp + cb_fo_util = cb_capafo
Nombre d'incohérences;20
cb_code;cb_fo_disp;cb_fo_util;cb_capafo;Somme disp+util
4628441;30;18;72;48
4631222;34;14;72;48
4625796;6;6;36;12
4601700;30;6;24;36
49690977;0;0;12;0
4637461;46;2;72;48
4597947;36;12;72;48
4609696;33;15;72;48
4609045;22;2;48;24
23336424;22;26;72;48
4604760;60;12;48;72
4642044;32;4;144;36
8608913;35;1;144;36
49690978;0;0;12;0
4614454;12;0;48;12
26731003;20;2;24;22
4597652;59;85;288;144
4613230;46;2;24;48
10990476;144;0;72;144
4611848;10;2;24;12

Vérification cb_codeext
Nombre de valeurs invalides;0

Unicité de cb_code
Total;4646
Taux unique (%);100.0%
Doublons (max 10);Aucun
