cb_code;Type;Attribut;Valeur N-1;Valeur N
34136098;Modification;cb_lgreel;1019.988;782.1873
4620323;Modification;cb_lgreel;338.3077;337.243
4907153;Modification;cb_lgreel;493.473;494.9139
4907155;Modification;cb_lgreel;584.4626;589.5148
17293474;Modification;cb_lgreel;624.2926;545.111
33186027;Modification;cb_lgreel;479.5682;480.7953
18587890;Modification;cb_lgreel;17.0218;15.5538
34070821;Modification;cb_lgreel;1188.8017;1207.9679
36651321;Modification;cb_lgreel;897.134;977.013
8847682;Modification;cb_lgreel;606.259;697.334
11108697;Modification;cb_lgreel;199.705;213.8454
16712037;Modification;cb_lgreel;887.7639;892.2103
16712034;Modification;cb_lgreel;938.0542;1253.5511
16712036;Modification;cb_lgreel;899.1117;901.5564
4596072;Modification;cb_lgreel;207.7726;227.7374
4612493;Modification;cb_lgreel;775.9669;777.222
4612492;Modification;cb_lgreel;1081.41;1082.4605
30925219;Modification;cb_lgreel;1305.6921;1317.3814
4604334;Modification;cb_lgreel;410.6642;421.1517
6775267;Modification;cb_lgreel;1155.0916;1263.4848
4604393;Modification;cb_lgreel;26.9637;51.4962
4604418;Modification;cb_lgreel;209.0794;719.8469
4604424;Modification;cb_lgreel;864.6362;866.2492
25240100;Modification;cb_lgreel;1077.452;1076.0263
25240101;Modification;cb_lgreel;1003.0552;1235.7353
25240103;Modification;cb_lgreel;811.3721;814.7265
25240105;Modification;cb_lgreel;977.0729;931.6849
25240102;Modification;cb_lgreel;794.7591;976.6861
25240104;Modification;cb_lgreel;847.4892;923.1874
4612710;Modification;cb_lgreel;75.5252;69.79
34357860;Modification;cb_lgreel;1161.5181;1228.8391
23569058;Modification;cb_lgreel;1933.9675;1919.839
23569062;Modification;cb_lgreel;1208.0117;1209.209
23569060;Modification;cb_lgreel;957.8895;948.5201
21766833;Modification;cb_lgreel;831.4169;816.4377
4604602;Modification;cb_lgreel;535.4127;543.5292
4604643;Modification;cb_lgreel;1192.5991;1204.0243
4637460;Modification;cb_lgreel;21.5362;20.2724
15246116;Modification;cb_lgreel;211.6173;206.0389
30868258;Modification;cb_lgreel;1067.7514;1068.9259
15246117;Modification;cb_lgreel;689.092;672.749
4612903;Modification;cb_lgreel;429.2553;428.2343
22512427;Modification;cb_lgreel;855.4248;797.8212
22512428;Modification;cb_lgreel;1280.6008;1345.8111
4596535;Modification;cb_lgreel;66.2862;65.2469
4596536;Modification;cb_lgreel;199.4285;198.3894
