pt_code;Attribut;Valeur N-1;Valeur N;Type
6186225;pt_nature;;L6T;
7559030;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566398;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
1344812;pt_nature;-;L4T;
6467194;pt_nature;;L4T;
6127985;pt_nature;;OHN;
6314558;pt_nature;;L4T;
7566392;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566396;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566413;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566386;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566441;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566411;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
6474878;pt_nature;;L3T;
7566440;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566448;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
1344814;pt_nature;-;L3T;
7566408;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566445;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566400;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
6147519;pt_nature;;L3T;
7566439;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566388;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566387;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566385;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
6363828;pt_nature;;K2C;
7566410;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
193279;pt_nature;-;;
7565751;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
6147518;pt_nature;;K2C;
7566389;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566393;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566402;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566447;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
1344813;pt_nature;-;L3T;
2496636;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566391;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7565754;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566450;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7568327;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
1340466;pt_nature;-;;
6187185;pt_nature;;L5T;
7638091;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
6188785;pt_nature;;C2;
6135353;pt_nature;;L2T;
7566395;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566417;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566444;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
6155831;pt_nature;;L3T;
7638090;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566412;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566443;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566390;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566451;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
"""";pt_codeext;1343702;7748466;
6363829;pt_nature;;OHN;
7566449;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
6291832;pt_nature;;L2T;
7565750;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
1340491;pt_nature;-;;
7566399;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566394;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
6135352;pt_nature;;K2C;
7566397;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
6291831;pt_nature;;L3T;
7566407;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
6314550;pt_nature;;OHN;
7566446;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566414;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
6156149;pt_nature;;L4T;
6232625;pt_nature;;L4T;
7566418;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
6346547;pt_nature;;L4T;
7566401;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7565753;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
7566442;pt_codeext;HORS TERRITOIRE;TERRITOIRE;
1369300;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7948832;;;;Ajout
7877146;;;;Ajout
7887676;;;;Ajout
7859260;;;;Ajout
7800316;;;;Ajout
7840961;;;;Ajout
7859349;;;;Ajout
8164786;;;;Ajout
7782716;;;;Ajout
7861459;;;;Ajout
7859331;;;;Ajout
7905275;;;;Ajout
7859242;;;;Ajout
7795513;;;;Ajout
7830385;;;;Ajout
7904950;;;;Ajout
7991387;;;;Ajout
7883514;;;;Ajout
7838393;;;;Ajout
7915858;;;;Ajout
7906237;;;;Ajout
7948806;;;;Ajout
7963524;;;;Ajout
7819873;;;;Ajout
7973756;;;;Ajout
7837808;;;;Ajout
7883525;;;;Ajout
7912702;;;;Ajout
7883274;;;;Ajout
7803197;;;;Ajout
7876805;;;;Ajout
7876844;;;;Ajout
7859251;;;;Ajout
7859214;;;;Ajout
7798398;;;;Ajout
7859200;;;;Ajout
7838093;;;;Ajout
7827243;;;;Ajout
7838388;;;;Ajout
7795507;;;;Ajout
7991667;;;;Ajout
7948811;;;;Ajout
7899852;;;;Ajout
7795868;;;;Ajout
7798399;;;;Ajout
7963507;;;;Ajout
7826571;;;;Ajout
7905273;;;;Ajout
7871355;;;;Ajout
7811843;;;;Ajout
7837748;;;;Ajout
7838118;;;;Ajout
7859207;;;;Ajout
7991669;;;;Ajout
7832637;;;;Ajout
7948802;;;;Ajout
7838134;;;;Ajout
7790078;;;;Ajout
7837793;;;;Ajout
7883261;;;;Ajout
7789128;;;;Ajout
7994551;;;;Ajout
7883535;;;;Ajout
7838415;;;;Ajout
7991423;;;;Ajout
7811832;;;;Ajout
7798445;;;;Ajout
7850293;;;;Ajout
7798403;;;;Ajout
7906867;;;;Ajout
7837814;;;;Ajout
7811860;;;;Ajout
7837787;;;;Ajout
7906558;;;;Ajout
7855697;;;;Ajout
7827200;;;;Ajout
7926415;;;;Ajout
7871390;;;;Ajout
7871394;;;;Ajout
7991703;;;;Ajout
7876848;;;;Ajout
7873267;;;;Ajout
7991463;;;;Ajout
8133746;;;;Ajout
7991371;;;;Ajout
7850238;;;;Ajout
7859374;;;;Ajout
7811870;;;;Ajout
8005119;;;;Ajout
7798466;;;;Ajout
7859204;;;;Ajout
7859389;;;;Ajout
7973769;;;;Ajout
7859185;;;;Ajout
7819832;;;;Ajout
7876829;;;;Ajout
7912648;;;;Ajout
7800318;;;;Ajout
7838126;;;;Ajout
7783101;;;;Ajout
7787506;;;;Ajout
8003513;;;;Ajout
7994553;;;;Ajout
7883252;;;;Ajout
7934088;;;;Ajout
7883251;;;;Ajout
7963541;;;;Ajout
7798451;;;;Ajout
7991051;;;;Ajout
7783128;;;;Ajout
7833917;;;;Ajout
7926406;;;;Ajout
7859209;;;;Ajout
7963527;;;;Ajout
7789187;;;;Ajout
7877142;;;;Ajout
7803189;;;;Ajout
7796155;;;;Ajout
7819835;;;;Ajout
7830111;;;;Ajout
7948820;;;;Ajout
7991403;;;;Ajout
7832956;;;;Ajout
7837455;;;;Ajout
7850275;;;;Ajout
7811856;;;;Ajout
7855687;;;;Ajout
7876837;;;;Ajout
7876799;;;;Ajout
7887673;;;;Ajout
7859213;;;;Ajout
7991472;;;;Ajout
7883829;;;;Ajout
7856652;;;;Ajout
8001585;;;;Ajout
7819845;;;;Ajout
7973762;;;;Ajout
7850306;;;;Ajout
7948838;;;;Ajout
7859269;;;;Ajout
7838401;;;;Ajout
7789188;;;;Ajout
7883524;;;;Ajout
7819867;;;;Ajout
7859361;;;;Ajout
7829433;;;;Ajout
7783122;;;;Ajout
7850276;;;;Ajout
7883506;;;;Ajout
7833593;;;;Ajout
7798391;;;;Ajout
7883533;;;;Ajout
7855715;;;;Ajout
7948787;;;;Ajout
7827233;;;;Ajout
7887670;;;;Ajout
8144305;;;;Ajout
8005120;;;;Ajout
7905590;;;;Ajout
7833595;;;;Ajout
7912630;;;;Ajout
7826575;;;;Ajout
7800331;;;;Ajout
7856642;;;;Ajout
7830072;;;;Ajout
7948797;;;;Ajout
7902745;;;;Ajout
7850243;;;;Ajout
7859381;;;;Ajout
7830067;;;;Ajout
7850247;;;;Ajout
7883202;;;;Ajout
7796158;;;;Ajout
7877127;;;;Ajout
7850262;;;;Ajout
7902729;;;;Ajout
7855726;;;;Ajout
7873590;;;;Ajout
7902722;;;;Ajout
7783046;;;;Ajout
7859241;;;;Ajout
7833597;;;;Ajout
7991470;;;;Ajout
7811865;;;;Ajout
7811885;;;;Ajout
7963549;;;;Ajout
7877144;;;;Ajout
7973766;;;;Ajout
7912642;;;;Ajout
7837782;;;;Ajout
7973747;;;;Ajout
7991361;;;;Ajout
8003514;;;;Ajout
7782724;;;;Ajout
7848015;;;;Ajout
7902705;;;;Ajout
7827256;;;;Ajout
7883250;;;;Ajout
