cm_code;Type;Attribut;Valeur N-1;Valeur N
590478;Modification;cm_long;28.0900307049;1314.54
8237178;Modification;cm_long;199.905357296;228.2523093
590846;Modification;cm_long;36.6167397547;167.9
559596;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
637154;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590315;Modification;cm_long;21.9836235274;664.32
590796;Modification;cm_long;20.3368436752;371.86
8354344;Modification;cm_long;69.5560002483;32.84374466
590404;Modification;cm_long;149.176345822;2482.91
591090;Modification;cm_long;1.7414248014;1017.08
591043;Modification;cm_long;380.884437723;2213.85
590209;Modification;cm_long;24.0104707501;664.32
590885;Modification;cm_long;15.0548642465;1017.08
590376;Modification;cm_long;46.0501652593;899.16
590849;Modification;cm_long;14.1662866441;453.94
590919;Modification;cm_long;11.3685846873;85.06
590835;Modification;cm_long;596.206191353;1234.78
590691;Modification;cm_long;340.09242533;1286.04
562482;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590232;Modification;cm_long;42.596831351;252.26
590800;Modification;cm_long;28.5236157836;240.83
589451;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590223;Modification;cm_long;12.8487075179;371.86
590197;Modification;cm_long;48.0072826709;240.83
590802;Modification;cm_long;22.1387347651;664.32
560796;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
8240372;Modification;cm_long;105.019250101;111.1780611
590319;Modification;cm_long;76.057993319;498.15
590952;Modification;cm_long;30.0875388279;1314.54
8283250;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
591048;Modification;cm_long;26.6450213869;1017.08
590255;Modification;cm_long;26.0896807999;429.13
1317154;Modification;cm_long;3.6795721178;97.9
604832;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
591103;Modification;cm_long;371.208178373;2390.73
590262;Modification;cm_long;29.7379674497;1017.08
590824;Modification;cm_long;359.136731822;2213.85
559261;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
