bp_code;Type
IRS - 72 RUE LENAIN DE TILLEMONT (MONTREUIL) - BPE 1;Ajout
FT - IRS - 93048/2490 - RUE DE ROSNY (MONTREUIL) - BPE1;Ajout
IRS - 2 AV PIERRE MENDES FRANCE (NOISIEL) - BPE 1;Ajout
JD-C16775740-BPE 1;Ajout
IRS - FT 306 ROUTE DES CARRIERES (CARRIERES SUR SEINE) - BPE 1;Ajout
IRS - VOI LUCIA (ST MAUR DES FOSSES) - BPE 1;Ajout
IRS - ANGLE RUE DANIEL SUER-RUE DEVAUX (DUGNY) - BPE 1;Ajout
IRIS - FT 2334 - 144 RUE LENAIN (MONTREUIL) - BPE 1;Ajout
IRS - 26 RUE M TENINE - BPE 1;Ajout
IRS - AV LIBERTE_RUE MONTESQUIEU (NANTERRE) - BPE 1;Ajout
IRS - 20 RUE DE SILLY (39) - BPE 1;Ajout
PRC CAMERA C41 VILLIERS SUR MARNE - BPE 1;Ajout
IRS - ANGLE RUE DE NOUAILLES/RUE DE PARIS - BPE 1;Ajout
IRS - N-1 XEROX VILLEPINTE - BPE 1;Ajout
IRS - FT 149 - 27 RUE DES VILLEGRANGES (LES LILAS) - BPE 1;Ajout
IRS - FT5 - 9 AVENUE DE LA DIVISION LECLERC - BPE 1;Ajout
PRC / CAM 9.1_9.2_70_71 -FT1606;Ajout
PRC CAMERA  VIDEO ROSNY 4;Ajout
IRS - FT 2213 - COULEE VERTE (ANTONY) - BPE 1;Ajout
GALERIE MAIRIE PLACE DE L EUROPE (RUEIL MALMAISON) - BPE 1;Ajout
IRS - FT 820 - 3 RUE DE MESLY (MAISONS-ALFORT) - BPE 1;Ajout
BI POP NETCENTER COURBEVOIE-ARRIVEE IRISE - BL - BAIE 84 (COURBEVOIE) - BPE 1;Ajout
9 RUE DE PARIS (PIERREFITTE) - BPE 1;Ajout
IRS - N-1 MAIRIE DE ROSNY - BPE 1;Ajout
IRS - AVENUE JEAN JAURES (IVRY SUR SEINE) - BPE1;Ajout
IRS - FT2577 - 20 RUE DES HAIES FLURIES (MONTREUIL) - BPE 1;Ajout
IRS - PLACE BILLANCOURT - BPE 1;Ajout
IRS -  BPE IMMEUBLE IENA RUNGIS - BPE 2;Ajout
PRC INEO 11 TASSIGNY (FONTENAY-SOUS-BOIS) - BPE 1;Ajout
IRS - FT 210 - 9 VILLA STE CECILE (COURBEVOIE) - BPE 1;Ajout
IRS - FT 2725 -  AVENUE DU MESNIL  (ST MAUR DES FOSSES) - BPE 1;Ajout
IRS - ANGLE KARMAN/CHARRON - BPE 2;Ajout
PRC CAM 82 ROSNY SOUS BOIS;Ajout
IRS - GAMBETTA-LAHAYE (BAGNOLET) - BPE 1;Ajout
IRS - RUE DE LA GALLIOTE -BPE1;Ajout
BOUYGUES SARTROUVILLE - BPE 1;Ajout
IRS - RUE WALDECK ROCHER (LA COURNEUVE) - BPE 1;Ajout
PRC SEQUANTIC - AVENUE DU GENERAL DE GAULLE (DUGNY) - BPE 1;Ajout
IRS - FT 559 - 4 ALLEE DU VAL DU MOULIN (STAINS) - BPE 1;Ajout
AVENUE DU G LECLERC/RUE DES MARAIS - BPE 1;Ajout
BI POP GROUPE SCOLAIRE MONOT;Ajout
IRS - 59 AV DE VERDUN ROMAINVILLE - BPE 1;Ajout
IRS - GALLIENI - SENTIER DU FORT PIERREFITTE - BPE 1;Ajout
PRC -  MCI JEAN JAURES - BPE 1;Ajout
IRS - MAIRIE DE VITRY - BPE 1;Ajout
IRS - N-1 OPHLM AV YOURI GAGARINE (VITRY) - BPE 1;Ajout
IRIS - FT96 - CH SAT SECURISEE CAM05;Ajout
IRS - FACE AU 29 RUE JOINEAU - BPE 1;Ajout
IRS - BI GS_PAUL_BERT_GYMNASE (D41) - BPE 1;Ajout
IRS - PAUL VAILLANT COURTURIER/YOURI GAGRINE (BOBIGNY) - BPE1;Ajout
IRS - PEREIRE (NANTERRE) - BPE 1;Ajout
IRS - BPE A RECOLE PRJ120708-A1 (NANTERRE);Ajout
IRS - RUE GOUNOD (ST CLOUD) - BPE 1;Ajout
IRS - RUE LAUTREAMONT (BOBIGNY) - BPE 1;Ajout
IRS - 116 RUE AMBROISE CROIZAT (VILLEJUIF);Ajout
IRS - RUE DE LA MOTTE (AUBERVILLIERS) - BPE 2;Ajout
IRS - RUE VICTOR HUGO-RUE PASCAL (NANTERRE) - BPE 1;Ajout
IRS - 14 AV PABLO PICASSO (NANTERRE) - BPE 1;Ajout
IRS - BI CHAUFFERIE_STADE (A08) - BPE 1;Ajout
IRS - N-1 IMM_SOLIDARITES_2 - BPE 1;Ajout
IRS - BI POP SILIC B RUNGIS;Ajout
IRS - FT 94052 - 965 - 25 BD. DU 11 AOUT 1944 (NOGENT SUR MARNE) - BPE 1;Ajout
IRS - SAINT JUST RFF (IVRY) - BPE 1;Ajout
IRS - CH DES BEAUREGARDS (HERBLAY) - BPE 1;Ajout
IRS - N-1 POP FTTS CHOISY LE ROI GARE (CHOISY LE ROI) - BPE 1;Ajout
IRISE - PRC - 140 AVENUE DE STALINGRAD;Ajout
IRS - RUE DE BRY-RUE GENERAL DE GAULLE (CHENNEVIERE SUR MARNE) - BPE1;Ajout
IRS - RUE DU PDT ALLENDE GENTILLY - BPE 1;Ajout
IRS - RUE ETIENNE DORVES(RUEIL MALMAISON) - BPE1;Ajout
