pt_code;Attribut;Valeur N-1;Valeur N;Type
7566451;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
6314558;pt_nature;L4T;;
7566394;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
193279;pt_nature;;-;
7566445;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7566448;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
6363828;pt_nature;K2C;;
7566400;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7566439;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
6467194;pt_nature;L4T;;
1344814;pt_nature;L3T;-;
6147518;pt_nature;K2C;;
"""";pt_codeext;7748466;1343702;
7566386;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
6314550;pt_nature;OHN;;
6291831;pt_nature;L3T;;
7566397;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7568327;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7566408;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7566441;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7565750;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7566407;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
1344813;pt_nature;L3T;-;
7565751;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
6186225;pt_nature;L6T;;
7566447;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
1344812;pt_nature;L4T;-;
6155831;pt_nature;L3T;;
1340466;pt_nature;;-;
7638091;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7566414;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7566390;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
6232625;pt_nature;L4T;;
7566418;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7566396;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7566401;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
2496636;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
6363829;pt_nature;OHN;;
7566388;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7566412;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
6147519;pt_nature;L3T;;
6127985;pt_nature;OHN;;
7566391;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7566393;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7566395;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
6188785;pt_nature;C2;;
6135353;pt_nature;L2T;;
7559030;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7566387;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7565753;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
1340491;pt_nature;;-;
7566398;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7566417;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7638090;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7565754;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7566446;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7566399;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7566450;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7566413;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7566392;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
7566442;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
6346547;pt_nature;L4T;;
7566449;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
6291832;pt_nature;L2T;;
7566402;pt_codeext;TERRITOIRE;HORS TERRITOIRE;
6135352;pt_nature;K2C;;
